id,draw_date,numbers,bonus,type
07bd1ba7-6e14-42ea-8422-fce3c824f19d,2025-03-14T11:00:00,"[67, 63, 47, 1, 54]",,RESULTAT_1
a653c3c3-28b6-4405-a32e-df765c79e3bc,2025-03-14T14:00:00,"[41, 42, 61, 76, 22]",,RESULTAT_2
c7c76ccd-5bcc-4deb-9b07-f7fc64273059,2025-03-14T18:00:00,"[84, 81, 68, 36, 58]",,RESULTAT_3
4d6f316c-2261-4d78-90fa-3b7cc250fb35,2025-03-14T21:00:00,"[85, 9, 52, 50, 54]",,DIGITAL_2
7948ea55-880b-4f8a-af49-174b8e681786,2025-03-13T00:00:00,"[36, 82, 69, 24, 20]",,DIGITAL_1
a9af6476-8ada-4c7d-af9f-f458cda2d834,2025-03-13T11:00:00,"[40, 11, 44, 21, 53]",,RESULTAT_1
2039b0fc-022f-4fe0-83c1-7b557fc0aba7,2025-03-13T14:00:00,"[49, 46, 14, 8, 47]",,RESULTAT_2
f225ab97-c369-4e68-bc81-cff9080f300b,2025-03-13T18:00:00,"[13, 43, 33, 69, 31]",,RESULTAT_3
4fef16c2-dc08-44d1-bf9e-5629cc6775c2,2025-03-13T21:00:00,"[24, 64, 82, 54, 28]",,DIGITAL_2
1ef1f2b1-e787-42e1-a658-74546783be3c,2025-03-12T00:00:00,"[62, 75, 43, 63, 39]",,DIGITAL_1
79e8ed2c-95e2-4f56-87d2-4f7ce5c476a6,2025-03-12T11:00:00,"[14, 44, 21, 38, 77]",,RESULTAT_1
a484fc2f-6e45-4665-91ce-e74e9cf1e168,2025-03-12T14:00:00,"[1, 28, 48, 78, 45]",,RESULTAT_2
83d313b9-0b94-4910-b3f4-e189bf3a5f67,2025-03-12T18:00:00,"[44, 49, 14, 37, 41]",,RESULTAT_3
2aaf62d5-abdb-4d5d-9973-92c7d2cc2922,2025-03-12T21:00:00,"[4, 9, 49, 6, 58]",,DIGITAL_2
7c87955e-c044-4c0e-a48f-21a981ca0cc7,2025-03-11T00:00:00,"[1, 21, 17, 33, 34]",,DIGITAL_1
a5fd79b8-33a4-4ec6-9951-97051a540c4b,2025-03-11T11:00:00,"[39, 88, 77, 16, 81]",,RESULTAT_1
13f00595-194e-4a97-9c9d-d918b75a491c,2025-03-11T14:00:00,"[45, 14, 9, 59, 68]",,RESULTAT_2
1932a912-d28a-47e3-a617-187cb4812117,2025-03-11T18:00:00,"[10, 49, 4, 79, 19]",,RESULTAT_3
3ac31961-a6de-43c9-a72a-7f094b2f24f1,2025-03-11T21:00:00,"[57, 88, 25, 80, 67]",,DIGITAL_2
5887525f-e543-4b11-b806-3224e9f57307,2025-03-10T00:00:00,"[87, 32, 10, 42, 88]",,DIGITAL_1
4d4acf9f-9dfb-41ab-9213-60b30c8301c3,2025-03-10T11:00:00,"[64, 85, 71, 81, 14]",,RESULTAT_1
696f8438-53d7-4192-8b90-c28f2ba6f288,2025-03-10T14:00:00,"[55, 48, 45, 74, 24]",,RESULTAT_2
2e0bc2ae-cb62-4c9c-9d9d-895c285cc326,2025-03-10T18:00:00,"[17, 47, 73, 30, 35]",,RESULTAT_3
6945b4ad-1a0a-4f4c-b8a9-74df1b6178a1,2025-03-10T21:00:00,"[39, 51, 70, 32, 79]",,DIGITAL_2
95ca6b1b-3f48-42c3-9deb-d1ffbef225c2,2025-03-09T00:00:00,"[6, 82, 83, 11, 39]",,DIGITAL_1
852981ef-3035-4785-9132-1f2530f224b7,2025-03-09T11:00:00,"[1, 61, 83, 49, 3]",,RESULTAT_1
7091e434-8921-4541-94ff-81cd8d8a78dd,2025-03-09T14:00:00,"[64, 68, 4, 19, 37]",,RESULTAT_2
8bdd1c2f-7252-4c85-9594-6745a051915b,2025-03-09T18:00:00,"[74, 75, 34, 1, 21]",,RESULTAT_3
1bd5d594-ff2f-4b82-95bc-6e6da78a6e4a,2025-03-09T21:00:00,"[10, 67, 65, 45, 46]",,DIGITAL_2
24e0022c-9da0-4e99-87ad-8023ce547709,2025-03-08T00:00:00,"[63, 77, 23, 26, 43]",,DIGITAL_1
6052e07d-05a1-407e-97b8-54f41436a5e3,2025-03-08T11:00:00,"[67, 60, 18, 5, 70]",,RESULTAT_1
e5737fe7-5613-497e-91f5-3f61da5464cd,2025-03-08T14:00:00,"[15, 67, 12, 28, 44]",,RESULTAT_2
af47b6a3-a530-4c30-baa0-d328908cc0be,2025-03-08T18:00:00,"[61, 24, 59, 38, 88]",,RESULTAT_3
1214335e-ad24-43bb-976a-c132059d0182,2025-03-08T21:00:00,"[71, 40, 44, 33, 80]",,DIGITAL_2
c722c9f0-9fd6-4a28-a59e-409c3d842be6,2025-03-07T00:00:00,"[64, 28, 24, 53, 29]",,DIGITAL_1
036bea85-f2f2-4d8f-a42b-fe5d20debf9e,2025-03-07T11:00:00,"[60, 54, 19, 63, 78]",,RESULTAT_1
a498e588-e4b7-41dd-8c87-bf6ccf4fddc9,2025-03-07T14:00:00,"[57, 86, 55, 48, 70]",,RESULTAT_2
6b369eb4-f5dc-4597-b1d0-6bb6fa267b30,2025-03-07T18:00:00,"[75, 32, 62, 68, 49]",,RESULTAT_3
7e947b71-f354-4a1c-a488-4761538b2ade,2025-03-07T21:00:00,"[26, 67, 38, 42, 23]",,DIGITAL_2
6afa8bcf-5c9b-466d-a993-deaacb498c4f,2025-03-06T00:00:00,"[72, 44, 74, 51, 2]",,DIGITAL_1
f56fdb17-7592-4b16-80ed-e5f9117891a8,2025-03-06T11:00:00,"[37, 57, 71, 61, 45]",,RESULTAT_1
309ef6de-3c0d-48ed-bd3f-d162ca189a7d,2025-03-06T14:00:00,"[56, 6, 20, 59, 65]",,RESULTAT_2
f45bb1c5-ff42-409f-a463-b2d155779c1a,2025-03-06T18:00:00,"[56, 6, 20, 59, 65]",,RESULTAT_3
190ff1ad-1a67-4298-94e7-a8713171a975,2025-03-06T21:00:00,"[69, 32, 86, 78, 6]",,DIGITAL_2
